Model, Acc(Test), Acc(Validation), #SV, parameters
Best model(Coarse grain), 100.000000, 96.551724, 68, "{'c': 64, 'gama': 4}"
Best model(Fine grain), 96.666667, 96.551724, 81, "{'c': 74.0, 'gama': 5.4285714285714288}"
Random model(1),80.000000, 89.655172, 64, "{'c': 32, 'gama': 0.00390625}"
Random model(2),86.666667, 89.655172, 57, "{'c': 16, 'gama': 0.03125}"
Random model(3),76.666667, 65.517241, 62, "{'c': 2, 'gama': 0.000244140625}"
Random model(4),76.666667, 65.517241, 63, "{'c': 0.5, 'gama': 0.03125}"
Random model(5),76.666667, 65.517241, 62, "{'c': 4, 'gama': 0.0001220703125}"
Random model(6),76.666667, 65.517241, 62, "{'c': 2, 'gama': 3.0517578125e-05}"
Random model(7),93.333333, 86.206897, 52, "{'c': 16, 'gama': 1}"
Random model(8),76.666667, 65.517241, 62, "{'c': 1, 'gama': 3.0517578125e-05}"
Random model(9),83.333333, 89.655172, 60, "{'c': 2, 'gama': 0.25}"
Random model(10),90.000000, 86.206897, 56, "{'c': 4, 'gama': 1}"
Random model(11),76.666667, 65.517241, 63, "{'c': 64, 'gama': 6.103515625e-05}"
Random model(12),76.666667, 65.517241, 62, "{'c': 4, 'gama': 3.0517578125e-05}"
Random model(13),80.000000, 89.655172, 67, "{'c': 0.5, 'gama': 0.5}"
Random model(14),76.666667, 65.517241, 63, "{'c': 8, 'gama': 0.000244140625}"
Random model(15),76.666667, 65.517241, 63, "{'c': 0.5, 'gama': 0.015625}"
Random model(16),90.000000, 86.206897, 41, "{'c': 64, 'gama': 0.5}"
Random model(17),76.666667, 65.517241, 63, "{'c': 32, 'gama': 6.103515625e-05}"
Random model(18),76.666667, 65.517241, 62, "{'c': 64, 'gama': 3.0517578125e-05}"
Random model(19),76.666667, 65.517241, 62, "{'c': 1, 'gama': 6.103515625e-05}"
Random model(20),76.666667, 65.517241, 63, "{'c': 16, 'gama': 0.0009765625}"
